ltf,combo,entry,pivot,stop,n,ret,mdd,wr,pp,pr,h_n,h_ret,h_mdd,h_pp
5m,Donchian20|pivot5|atr1.5,Donchian20,5,atr1.5,8536,-2349.71326541375,-2207.1979021692396,0.13612933458294282,0.0,1.0,1775,-551.418576516437,-508.6500748034373,0.0
5m,Donchian20|pivot5|atr3,Donchian20,5,atr3,11767,-839.3720588450284,-502.4047178866465,0.20226055919095776,0.0,1.0,2626,-382.6751547796005,-449.9372225539837,0.0
5m,Donchian20|pivot5|swing,Donchian20,5,swing,12429,-509.6938289784497,-288.9570497044544,0.23847453536084962,0.0,1.0,2871,-279.51161686636937,-353.15062871063435,0.0
5m,Donchian50|pivot5|atr1.5,Donchian50,5,atr1.5,5340,-1301.9177617419705,-1313.2721217076778,0.1406367041198502,0.0,1.0,1152,-374.4557449224821,-385.8101048881903,0.0
5m,Donchian50|pivot5|atr3,Donchian50,5,atr3,7011,-289.731998751079,-299.7114469734704,0.212665810868635,0.0,1.0,1594,-96.92327147698231,-189.0691613484029,0.0
5m,Donchian50|pivot5|swing,Donchian50,5,swing,7443,-98.06450095815897,-120.41971981283433,0.2735456133279592,0.0,1.0,1745,-126.83971888097321,-182.4732654306442,0.0
5m,Squeeze|pivot5|atr1.5,Squeeze,5,atr1.5,2645,-1319.0582201787809,-1320.1730304881737,0.1103969754253308,0.0,1.0,515,-268.3405642415819,-258.84686637735786,0.0
5m,Squeeze|pivot5|atr3,Squeeze,5,atr3,4493,-1239.2080645265355,-1167.753628031452,0.15134653906076118,0.0,1.0,957,-314.0192490226436,-313.90065609523504,0.0
5m,Squeeze|pivot5|swing,Squeeze,5,swing,4530,-982.0337273481274,-843.0724882526195,0.1772626931567329,0.0,1.0,995,-189.29321949132103,-216.04498233146862,0.0
5m,Pullback|pivot5|atr1.5,Pullback,5,atr1.5,3102,-830.8190925880075,-702.9125542883053,0.18439716312056736,0.0,1.0,621,-163.70160973912598,-163.70160973912598,0.0
5m,Pullback|pivot5|atr3,Pullback,5,atr3,3731,-317.1282000406265,-257.69863078197693,0.2749932993835433,0.0,1.0,743,-112.53723377264662,-129.98437355078013,0.0
5m,Pullback|pivot5|swing,Pullback,5,swing,3392,-385.9868840409024,-362.75648561215417,0.2432193396226415,0.0,1.0,691,-20.256375966131635,-102.46070387774293,0.05333333333333334
5m,Donchian20|pivot10|atr1.5,Donchian20,10,atr1.5,6208,-1717.9924875129814,-1549.5524904535419,0.13031572164948454,0.0,1.0,1397,-424.87457743098105,-398.09113927615863,0.0
5m,Donchian20|pivot10|atr3,Donchian20,10,atr3,10135,-1374.2338300312267,-610.1515627958148,0.17405032067094228,0.0,1.0,2252,-434.65938296714864,-582.3512383465022,0.0
5m,Donchian20|pivot10|swing,Donchian20,10,swing,11362,-957.6204283532414,-414.0347600542621,0.20392536525259639,0.0,1.0,2620,-245.71117563371493,-275.42926143776293,0.0
5m,Donchian50|pivot10|atr1.5,Donchian50,10,atr1.5,3955,-1021.3191957113495,-934.6395465805518,0.1329962073324905,0.0,1.0,913,-274.1675052962849,-280.5261300012577,0.0
5m,Donchian50|pivot10|atr3,Donchian50,10,atr3,6090,-673.4099451075245,-395.25532707594977,0.18045977011494252,0.0,1.0,1371,-243.01921861882118,-345.5747149873343,0.0
5m,Donchian50|pivot10|swing,Donchian50,10,swing,6931,-465.60141483308576,-266.49268058706656,0.2301255230125523,0.0,1.0,1617,-176.7941484781623,-195.98239799876413,0.0
5m,Squeeze|pivot10|atr1.5,Squeeze,10,atr1.5,1699,-919.1426464927785,-890.4692147362562,0.1124190700412007,0.0,1.0,381,-213.9935851149406,-217.34475938797146,0.0
5m,Squeeze|pivot10|atr3,Squeeze,10,atr3,3484,-1130.439264080271,-906.2909071793478,0.13633754305396095,0.0,1.0,757,-229.67230544589165,-263.9493210099844,0.0
5m,Squeeze|pivot10|swing,Squeeze,10,swing,3711,-850.0166730891344,-500.9327143847326,0.16060361088655348,0.0,1.0,822,-173.66319230766703,-203.89249836291933,0.0
5m,Pullback|pivot10|atr1.5,Pullback,10,atr1.5,2351,-507.53214996532313,-431.05351370110344,0.1701403658017865,0.0,1.0,500,-79.7257405739358,-103.02182957791024,0.03133333333333333
5m,Pullback|pivot10|atr3,Pullback,10,atr3,3276,-334.8952944737428,-248.01131525284973,0.2316849816849817,0.0,1.0,680,-66.24015904783865,-127.9544168952446,0.0
5m,Pullback|pivot10|swing,Pullback,10,swing,2880,-306.9103506971646,-272.5992431761215,0.21145833333333333,0.0,1.0,610,-43.28248100679579,-119.73516062789373,0.0
