horizon,model,oo_s,year,n,hit_rate,corr
4,LogReg,2020-07-01,2020,1488,0.5275537634408602,0.0196081384152785
4,GBoost,2020-07-01,2020,1488,0.5268817204301075,0.01461638703333401
4,LogReg,2020-09-01,2020,1464,0.5525956284153005,0.0889053729826831
4,GBoost,2020-09-01,2020,1464,0.5430327868852459,0.07305944630606744
4,LogReg,2020-11-01,2020,1464,0.5409836065573771,0.0587266011435783
4,GBoost,2020-11-01,2020,1464,0.532103825136612,0.03768320507595739
4,LogReg,2021-01-01,2021,1416,0.547316384180791,0.016770286107559124
4,GBoost,2021-01-01,2021,1416,0.5374293785310734,0.07376149460777978
4,LogReg,2021-03-01,2021,1464,0.5280054644808743,0.07745468951925796
4,GBoost,2021-03-01,2021,1464,0.5334699453551912,0.0914168238418139
4,LogReg,2021-05-01,2021,1464,0.4883879781420765,0.04738003869040024
4,GBoost,2021-05-01,2021,1464,0.5075136612021858,0.02814242303422344
4,LogReg,2021-07-01,2021,1488,0.5241935483870968,0.024935720627742228
4,GBoost,2021-07-01,2021,1488,0.5248655913978495,0.09065614308867098
4,LogReg,2021-09-01,2021,1464,0.5423497267759563,0.07533313984814843
4,GBoost,2021-09-01,2021,1464,0.5191256830601093,0.04180519413437296
4,LogReg,2021-11-01,2021,1464,0.5505464480874317,0.10335130341113671
4,GBoost,2021-11-01,2021,1464,0.5512295081967213,0.07142800212326311
4,LogReg,2022-01-01,2022,1416,0.5522598870056498,0.12110531329126487
4,GBoost,2022-01-01,2022,1416,0.5402542372881356,0.08605033475489149
4,LogReg,2022-03-01,2022,1464,0.5594262295081968,0.16371533434788174
4,GBoost,2022-03-01,2022,1464,0.5580601092896175,0.07068974459672946
4,LogReg,2022-05-01,2022,1464,0.5546448087431693,0.10999529994131221
4,GBoost,2022-05-01,2022,1464,0.5525956284153005,0.11744763562483661
4,LogReg,2022-07-01,2022,1488,0.5295698924731183,0.08190218634257034
4,GBoost,2022-07-01,2022,1488,0.521505376344086,0.04668066137770309
4,LogReg,2022-09-01,2022,1464,0.51775956284153,0.05906314050497508
4,GBoost,2022-09-01,2022,1464,0.532103825136612,0.06670071378940365
4,LogReg,2022-11-01,2022,1464,0.5368852459016393,0.05966138030783224
4,GBoost,2022-11-01,2022,1464,0.5006830601092896,-0.006651434063190897
4,LogReg,2023-01-01,2023,1416,0.5501412429378532,0.11535372400197827
4,GBoost,2023-01-01,2023,1416,0.548728813559322,0.1055957199768923
4,LogReg,2023-03-01,2023,1464,0.5225409836065574,0.04935646053454345
4,GBoost,2023-03-01,2023,1464,0.5314207650273224,0.05835441718096179
4,LogReg,2023-05-01,2023,1464,0.5266393442622951,0.029520573890197386
4,GBoost,2023-05-01,2023,1464,0.5327868852459017,0.08091167904228258
4,LogReg,2023-07-01,2023,1488,0.5557795698924731,0.15063376936456752
4,GBoost,2023-07-01,2023,1488,0.5598118279569892,0.14329589540069182
4,LogReg,2023-09-01,2023,1464,0.5416666666666666,0.0770544653229625
4,GBoost,2023-09-01,2023,1464,0.5116120218579235,0.0607474923304602
4,LogReg,2023-11-01,2023,1464,0.5525956284153005,0.08975959465020679
4,GBoost,2023-11-01,2023,1464,0.5505464480874317,0.10228533549262042
4,LogReg,2024-01-01,2024,1440,0.5444444444444444,0.10476782791500773
4,GBoost,2024-01-01,2024,1440,0.5465277777777777,0.124436451764804
4,LogReg,2024-03-01,2024,1464,0.523224043715847,0.03536909032797438
4,GBoost,2024-03-01,2024,1464,0.5020491803278688,0.02604091703811276
4,LogReg,2024-05-01,2024,1464,0.5239071038251366,0.039104844037107615
4,GBoost,2024-05-01,2024,1464,0.5293715846994536,0.051815802453931276
4,LogReg,2024-07-01,2024,1488,0.4952956989247312,-0.005622366614838359
4,GBoost,2024-07-01,2024,1488,0.5047043010752689,0.007203514961964647
4,LogReg,2024-09-01,2024,1464,0.5314207650273224,0.059823045101921386
4,GBoost,2024-09-01,2024,1464,0.5334699453551912,0.055441102917037306
4,LogReg,2024-11-01,2024,1464,0.5355191256830601,0.04920532820968285
4,GBoost,2024-11-01,2024,1464,0.5,0.002366482651769179
4,LogReg,2025-01-01,2025,1416,0.5112994350282486,0.038855208294503854
4,GBoost,2025-01-01,2025,1416,0.5042372881355932,0.04668155780883252
4,LogReg,2025-03-01,2025,1464,0.5280054644808743,0.01504208183994917
4,GBoost,2025-03-01,2025,1464,0.5129781420765027,0.0015256379652172352
4,LogReg,2025-05-01,2025,1464,0.5409836065573771,0.10394934069708285
4,GBoost,2025-05-01,2025,1464,0.5068306010928961,0.02685027965420259
4,LogReg,2025-07-01,2025,1488,0.5020161290322581,0.032552567011072835
4,GBoost,2025-07-01,2025,1488,0.5255376344086021,0.06005245999404579
4,LogReg,2025-09-01,2025,1464,0.5157103825136612,0.032135930632458044
4,GBoost,2025-09-01,2025,1464,0.5225409836065574,0.0005616331007181517
4,LogReg,2025-11-01,2025,1464,0.5409836065573771,0.07869450533604737
4,GBoost,2025-11-01,2025,1464,0.5116120218579235,0.020697573636928084
4,LogReg,2026-01-01,2026,1416,0.4992937853107345,-0.0002829464793470809
4,GBoost,2026-01-01,2026,1416,0.4985875706214689,0.004499262793301527
4,LogReg,2026-03-01,2026,1464,0.4979508196721312,0.002603044942324178
